Nets=['Deep_sig.21', 'Deep_sig.22', 'Deep_sig.23', 'Deep_sig.24']	GPUid=5
N=20	gauge=True	increment=0.01	amount=201	epochs=1	init_p=1000.0	rate=1.0
V=1.040	U=0.000	H=-0.96647221	P=0.00000556	D=0.00111768	CDW=0.26204935	BDW=0.01878428	Next_init_amount=1
V=1.030	U=0.000	H=-0.96964777	P=0.00000549	D=0.00112339	CDW=0.26157916	BDW=0.01856497	Next_init_amount=1
V=1.020	U=0.000	H=-0.97199970	P=0.00000505	D=0.00111805	CDW=0.26047400	BDW=0.01855034	Next_init_amount=1
V=1.010	U=0.000	H=-0.97471786	P=0.00000552	D=0.00110524	CDW=0.25939721	BDW=0.01863748	Next_init_amount=1
V=1.000	U=0.000	H=-0.97728384	P=0.00000555	D=0.00111987	CDW=0.25674635	BDW=0.01883763	Next_init_amount=1
V=0.990	U=0.000	H=-0.98029447	P=0.00000520	D=0.00112446	CDW=0.25512955	BDW=0.01911718	Next_init_amount=1
V=0.980	U=0.000	H=-0.98308599	P=0.00000540	D=0.00111481	CDW=0.25398439	BDW=0.01937076	Next_init_amount=1
V=0.970	U=0.000	H=-0.98582667	P=0.00000554	D=0.00109331	CDW=0.25181621	BDW=0.01962632	Next_init_amount=1
V=0.960	U=0.000	H=-0.98859441	P=0.00000567	D=0.00108752	CDW=0.24944521	BDW=0.01989284	Next_init_amount=1
V=0.950	U=0.000	H=-0.99137032	P=0.00000537	D=0.00113414	CDW=0.24564020	BDW=0.02055544	Next_init_amount=1
V=0.940	U=0.000	H=-0.99443460	P=0.00000525	D=0.00114540	CDW=0.24230579	BDW=0.02095228	Next_init_amount=1
V=0.930	U=0.000	H=-0.99708354	P=0.00000548	D=0.00112693	CDW=0.23853746	BDW=0.02124792	Next_init_amount=1
V=0.920	U=0.000	H=-0.99994695	P=0.00000629	D=0.00110483	CDW=0.23287599	BDW=0.02121633	Next_init_amount=1
V=0.910	U=0.000	H=-1.00288379	P=0.00000574	D=0.00112461	CDW=0.22810933	BDW=0.02123532	Next_init_amount=1
V=0.900	U=0.000	H=-1.00630283	P=0.00000579	D=0.00116598	CDW=0.22273196	BDW=0.02096224	Next_init_amount=1
V=0.890	U=0.000	H=-1.00866246	P=0.00000590	D=0.00118497	CDW=0.21735333	BDW=0.02069813	Next_init_amount=1
V=0.880	U=0.000	H=-1.01212692	P=0.00000579	D=0.00130159	CDW=0.21064162	BDW=0.02050364	Next_init_amount=1
V=0.870	U=0.000	H=-1.01472664	P=0.00000560	D=0.00127898	CDW=0.20601249	BDW=0.02076277	Next_init_amount=1
V=0.860	U=0.000	H=-1.01719117	P=0.00000624	D=0.00120923	CDW=0.19647734	BDW=0.02075705	Next_init_amount=1
V=0.850	U=0.000	H=-1.02098989	P=0.00000570	D=0.00116882	CDW=0.18889146	BDW=0.02229214	Next_init_amount=1
V=0.840	U=0.000	H=-1.02379692	P=0.00000538	D=0.00127749	CDW=0.18333422	BDW=0.02246809	Next_init_amount=1
V=0.830	U=0.000	H=-1.02635086	P=0.00000611	D=0.00121564	CDW=0.18108329	BDW=0.02245530	Next_init_amount=1
V=0.820	U=0.000	H=-1.02958286	P=0.00000544	D=0.00121161	CDW=0.17994943	BDW=0.02222043	Next_init_amount=1
V=0.810	U=0.000	H=-1.03245819	P=0.00000566	D=0.00119955	CDW=0.17832644	BDW=0.02187508	Next_init_amount=1
V=0.800	U=0.000	H=-1.03510714	P=0.00000645	D=0.00116224	CDW=0.17861865	BDW=0.02172813	Next_init_amount=1
V=0.790	U=0.000	H=-1.03825784	P=0.00000547	D=0.00115014	CDW=0.17703465	BDW=0.02148783	Next_init_amount=1
V=0.780	U=0.000	H=-1.04170489	P=0.00000569	D=0.00118409	CDW=0.16830599	BDW=0.02075070	Next_init_amount=1
V=0.770	U=0.000	H=-1.04407167	P=0.00000551	D=0.00119227	CDW=0.16721399	BDW=0.01994431	Next_init_amount=1
V=0.760	U=0.000	H=-1.04707587	P=0.00000530	D=0.00119514	CDW=0.16509728	BDW=0.01977041	Next_init_amount=1
V=0.750	U=0.000	H=-1.04983068	P=0.00000523	D=0.00118098	CDW=0.16426685	BDW=0.01929060	Next_init_amount=1
V=0.740	U=0.000	H=-1.05264068	P=0.00000634	D=0.00118138	CDW=0.16350482	BDW=0.01928413	Next_init_amount=1
