Nets=['Deep_sig.21', 'Deep_sig.23', 'Deep_sig.24']	GPUid=4
N=20	gauge=True	increment=0.01	amount=151	epochs=1	init_p=1000.0	rate=1.0
V=1.380	U=-100.000	H=-0.36063802	P=0.00000263	D=0.00237353	CDW=-0.08899811	BDW=0.01472336	Next_init_amount=1
V=1.390	U=-100.000	H=-0.35851172	P=0.00000272	D=0.00246399	CDW=-0.08887322	BDW=0.01469134	Next_init_amount=1
V=1.400	U=-100.000	H=-0.35589185	P=0.00000298	D=0.00244914	CDW=-0.08914652	BDW=0.01488176	Next_init_amount=1
V=1.410	U=-100.000	H=-0.35358450	P=0.00000304	D=0.00244636	CDW=-0.08925413	BDW=0.01491645	Next_init_amount=1
V=1.420	U=-100.000	H=-0.35113978	P=0.00000269	D=0.00240462	CDW=-0.08951069	BDW=0.01516104	Next_init_amount=1
V=1.430	U=-100.000	H=-0.34888664	P=0.00000344	D=0.00240633	CDW=-0.08977755	BDW=0.01538242	Next_init_amount=1
V=1.440	U=-100.000	H=-0.34642580	P=0.00000274	D=0.00233084	CDW=-0.09042697	BDW=0.01567759	Next_init_amount=1
V=1.450	U=-100.000	H=-0.34422141	P=0.00000270	D=0.00236282	CDW=-0.09053829	BDW=0.01585452	Next_init_amount=1
V=1.460	U=-100.000	H=-0.34192780	P=0.00000320	D=0.00236265	CDW=-0.09062334	BDW=0.01596403	Next_init_amount=1
V=1.470	U=-100.000	H=-0.33965504	P=0.00000278	D=0.00237260	CDW=-0.09077186	BDW=0.01611370	Next_init_amount=1
V=1.480	U=-100.000	H=-0.33744159	P=0.00000333	D=0.00236994	CDW=-0.09096315	BDW=0.01621912	Next_init_amount=1
V=1.490	U=-100.000	H=-0.33513108	P=0.00000337	D=0.00234234	CDW=-0.09127609	BDW=0.01646827	Next_init_amount=1
V=1.500	U=-100.000	H=-0.33285916	P=0.00000306	D=0.00235802	CDW=-0.09134264	BDW=0.01640542	Next_init_amount=1
V=1.510	U=-100.000	H=-0.33046341	P=0.00000301	D=0.00227664	CDW=-0.09142721	BDW=0.01634347	Next_init_amount=1
V=1.520	U=-100.000	H=-0.32864365	P=0.00000350	D=0.00236556	CDW=-0.09149066	BDW=0.01630375	Next_init_amount=1
V=1.530	U=-100.000	H=-0.32660377	P=0.00000282	D=0.00216534	CDW=-0.09260604	BDW=0.01670995	Next_init_amount=1
V=1.540	U=-100.000	H=-0.32430837	P=0.00000275	D=0.00210867	CDW=-0.09339013	BDW=0.01713368	Next_init_amount=1
V=1.550	U=-100.000	H=-0.32212880	P=0.00000272	D=0.00211343	CDW=-0.09385235	BDW=0.01757216	Next_init_amount=1
V=1.560	U=-100.000	H=-0.31985360	P=0.00000279	D=0.00204823	CDW=-0.09447201	BDW=0.01835832	Next_init_amount=1
V=1.570	U=-100.000	H=-0.31767890	P=0.00000288	D=0.00194553	CDW=-0.09462325	BDW=0.01956193	Next_init_amount=1
V=1.580	U=-100.000	H=-0.31575280	P=0.00000291	D=0.00190742	CDW=-0.09441123	BDW=0.02000238	Next_init_amount=1
V=1.590	U=-100.000	H=-0.31365725	P=0.00000256	D=0.00186115	CDW=-0.09406046	BDW=0.02071722	Next_init_amount=1
V=1.600	U=-100.000	H=-0.31155619	P=0.00000270	D=0.00186233	CDW=-0.09367716	BDW=0.02071986	Next_init_amount=1
